Time,In/Velocity (Vehicle Monitor),In/Current Gear (Vehicle Monitor),Mechanical/Speed (ICE)
s,km/h,-,rpm
0,0,0,0
1,25.95437442,2,2710.004411
2,31.79307359,3,4248.370502
3,36.74366388,4,5801.211093
4,40.79190461,5,7204.403614
5,44.12866652,5,7191.245696
6,46.92933899,6,7172.534073
7,49.64937576,6,7147.354056
8,52.28704855,6,7105.17935
9,54.81744387,6,7061.942625
10,57.22561422,6,7035.930603
11,59.51015728,6,7040.953462
12,61.69670763,6,7102.483928
13,63.87824737,6,7212.892125
14,66.13441994,6,7305.968992
15,68.45338272,6,7353.580947
16,70.79410109,6,7371.757501
17,73.14927286,6,7341.350143
18,75.49272923,6,7274.907846
19,77.81878019,6,7174.288898
20,80.10576235,6,7078.032346
21,82.3427893,6,7025.310917
22,84.5297357,6,7021.557768
23,86.66656863,6,7024.746597
24,88.75334335,6,7028.408829
25,90.7901989,6,7032.61529
26,92.77735361,6,7037.447572
27,94.71510052,6,7042.999732
28,96.60380274,6,7049.380262
29,98.44388878,6,7056.714408
30,100.23584,6,7065.146881
31,101.9801744,6,7074.845049
32,103.6774534,6,7086.002716
33,105.3283221,6,7098.844588
34,106.933472,6,7113.631598
35,108.493633,6,7130.667276
36,110.0071906,6,7153.527895
37,111.4583253,6,7188.272965
38,112.8454683,6,7203.642438
39,114.1694393,6,7196.992954
40,115.4174817,6,7179.174419
41,116.5813805,6,7156.941617
42,117.6619804,6,7122.202974
43,118.6487092,6,7074.733767
44,119.5175634,6,7042.172514
45,120.2689473,6,7034.126192
46,120.912395,6,7075.359627
47,121.5247767,6,7176.534283
48,122.210134,6,7279.091249
49,122.9805027,6,7340.821663
50,123.7978141,6,7370.033631
51,124.6496357,6,7356.479644
52,125.5165608,6,7300.778194
53,126.3859603,6,7211.576876
54,127.2480722,6,7106.179057
55,128.0824495,6,7037.07985
56,128.8899606,6,7020.589151
57,129.6714581,6,7023.63427
58,130.4277787,6,7027.13132
59,131.1597421,6,7031.147869
60,131.8681508,6,7035.761747
61,132.5537896,6,7041.062649
62,133.2174252,6,7047.154019
63,133.8598063,6,7054.155236
64,134.4816629,6,7062.204194
65,134.924505,6,7068.20192
66,135.3528974,6,7074.814239
67,135.7673591,6,7082.074316
68,136.1683933,6,7090.046967
69,136.5564879,6,7098.803774
70,136.9321154,6,7108.423844
71,137.2957335,6,7118.99467
72,137.6477852,6,7130.613105
73,137.988696,6,7143.386461
74,138.3117599,6,7167.259045
75,138.615001,6,7188.20811
76,138.8987991,6,7200.658009
77,139.163521,6,7204.153585
78,139.4095176,6,7197.000175
79,139.6305839,6,7185.426379
80,139.8235228,6,7172.71306
81,139.9886435,6,7157.293151
82,140.1262438,6,7136.617613
83,140.2366054,6,7106.289756
84,140.3085906,6,7076.658873
85,140.3375695,6,7054.345875
86,140.323784,6,7041.860868
87,140.2674662,6,7044.836892
88,140.1688511,6,7075.359596
89,140.0550712,6,7139.471328
90,139.9756609,6,7212.89202
91,139.9443134,6,7279.091063
92,139.9612858,6,7326.13717
93,140.015816,6,7353.580428
94,140.094701,6,7370.032815
95,140.1981581,6,7367.646699
96,140.3233677,6,7341.348332
97,140.4592094,6,7300.775653
98,140.6051136,6,7245.16344
99,140.761253,6,7174.28445
100,140.9171181,6,7106.173521
