Time,In/Velocity (Vehicle Monitor),In/Current Gear (Vehicle Monitor),Mechanical/Speed (ICE)
s,km/h,-,rpm
0,0,0,0
1,31.004997375752517,1,2884.713588253286
2,60.438985780710425,1,5623.260064463429
3,68.98883158922538,2,7351.927857355111
4,84.19085717919415,3,7049.518778944661
5,98.11144622656163,3,7001.801260548173
6,101.5128964,4,7247.5582954396095
7,119.75158588683777,4,7164.916400609857
8,122.28228128900518,5,7003.004986133176
9,138.04115856994832,5,7001.8012533686715
10,138.80346547681484,6,7306.040910608867
11,151.4906019676588,6,7001.8012533686815
12,159.24647544627388,6,7090.338152651137
13,158.8286076313187,6,7103.5414232342755
14,158.43422399888414,6,7119.0416516993455
15,158.0622046726668,6,7136.9024213377525
16,157.70435673879967,6,7167.321510337946
17,157.34542541045207,6,7195.556170033818
18,156.98442946820984,6,7204.1811824969345
19,156.6184166325057,6,7191.240612296975
20,156.22937487368793,6,7172.528694101728
21,155.8129140038294,6,7147.349613382324
22,155.3681984769353,6,7105.177576765004
23,154.8711909106041,6,7061.942996685137
24,154.30765864963143,6,7035.932464423408
25,153.67683446474814,6,7040.958129
26,153.00492748594945,6,7102.4959962540215
27,152.38547839364225,6,7212.922481427902
28,151.89866335625717,6,7306.039247730663
29,151.5330748,6,7353.7300546778415
30,151.24798811304453,6,7371.963418819991
31,151.03630741191165,6,7341.557776376289
32,150.87196328881032,6,7275.042620776416
33,150.74926959606415,6,7174.316727745303
34,150.64647095579056,6,7078.032062303063
35,150.55249804119447,6,7025.310562141197
36,150.46696487017905,6,7021.557356449722
37,150.38950321708973,6,7024.746124615504
38,150.31975573699646,6,7028.408287231308
39,150.2573837622064,6,7032.614667325696
40,150.20206546019742,6,7037.446857
41,150.15349444126952,6,7042.998909682832
42,150.11137866014394,6,7049.379317
43,150.07543971769041,6,7056.713322211452
44,150.04541215802487,6,7065.145632
45,150.02104276756307,6,7074.843612552912
46,150.00208996891854,6,7086.001062758885
47,149.9883232249666,6,7098.842684186133
48,149.97952244704257,6,7113.629405603324
49,149.97547758026252,6,7130.664749473853
50,149.97360780781182,6,7153.524981961062
51,149.95709995683544,6,7188.269509025281
52,149.92337258880028,6,7203.6380784147095
53,149.87222037846294,6,7196.9880288586855
54,149.78984792774446,6,7179.169077656395
55,149.66699096479982,6,7156.936622376753
56,149.50344106431007,6,7122.200294362344
57,149.2875666438744,6,7074.733513844778
58,148.99429875939313,6,7042.173893121337
59,148.62299461286432,6,7034.129612246479
60,148.1824160447258,6,7075.368419
61,147.74861612433065,6,7176.556810580303
62,147.42461350118603,6,7279.144866339393
63,147.22141952242245,6,7340.938831792725
64,147.09993887277568,6,7370.227723895853
65,147.04672149741674,6,7356.6938436429755
66,146.8991914265636,6,7323.055867155177
67,146.77311018784408,6,7275.039659014563
68,146.66818128940739,6,7211.634411403254
69,146.58055204991217,6,7138.5751024455585
70,146.4992766,6,7078.025983671311
71,146.42408601565046,6,7037.072394629343
72,146.35472317544614,6,7019.655754677755
73,146.29094244316852,6,7021.548545560615
74,146.23250900419458,6,7023.624156641643
75,146.17919838048587,6,7025.900357204648
76,146.13079594696234,6,7028.396666085818
77,146.08709647277593,6,7031.134528470392
78,146.04790368602374,6,7034.137511468439
79,146.0130298605473,6,7037.431520645748
80,145.98229542354753,6,7041.045039973584
81,145.95552858283153,6,7045.009397992855
82,145.9325649725857,6,7049.3590633727745
83,145.9132473166395,6,7054.131973490599
84,145.8974251082499,6,7059.3699001795785
85,145.8849543055022,6,7065.118857400729
86,145.8756970414712,6,7071.4295563079095
87,145.86952134835326,6,7078.357914
88,145.86630089481355,6,7085.965623373644
89,145.8659147358491,6,7094.3207922208985
90,145.86824707450876,6,7103.498662006483
91,145.87318703484775,6,7113.582417316705
92,145.88062844553215,6,7124.664099866191
93,145.8904696335477,6,7136.845642913609
94,145.90023323906553,6,7153.462539811557
95,145.90270847005092,6,7178.804473001811
96,145.89779797893655,6,7195.495201869869
97,145.88540817847854,6,7203.593015435269
98,145.86544907936707,6,7202.069977459621
99,145.83581405202565,6,7191.276646
100,145.78887019256427,6,7179.288660985019
