Time,In/Velocity (Vehicle Monitor),In/Current Gear (Vehicle Monitor),Mechanical/Speed (ICE)
s,km/h,-,rpm
0,0,0,0
1,31.004997375752517,1,2884.713588253286
2,60.438985780710425,1,5623.260064463429
3,81.58018683401751,1,7590.243296597614
4,89.92897714225306,2,7002.049087487007
5,100.9480075380812,2,7302.633505016158
6,110.76472076406664,3,7001.802392730975
7,123.46058607594743,3,7506.670819383759
8,124.16305097307907,4,7055.591417616113
9,141.72144083253642,4,7208.034404246937
10,147.3712469814648,4,7495.386810908696
11,145.88579546821947,5,7307.051865288155
12,160.4797112112708,5,7001.8012533686815
13,169.67031777930833,5,7333.8785625120245
14,172.47447492923277,5,7455.086256803583
15,173.31986878546292,5,7491.627803729604
16,172.53746291797762,5,7292.499087134149
17,175.1287698515501,6,7001.802816705389
18,186.28109570284707,6,7031.964370499096
19,192.6992243330351,6,7274.243661816752
20,195.0701575849396,6,7363.744521
21,195.86765435376014,6,7393.849395
22,196.0738935,6,7401.634760519955
23,196.06836096494774,6,7401.425911
24,195.99566322810483,6,7398.681628923383
25,195.90943373737062,6,7395.426533690872
26,195.82833327311496,6,7392.365055160671
27,195.75778324585295,6,7389.701847301749
28,195.69836805595278,6,7387.458970766865
29,195.6490556610853,6,7385.597466772466
30,195.60840731426907,6,7384.063023755298
31,195.5750106062563,6,7382.8023243807775
32,195.5476159286043,6,7381.768196916241
33,195.52516270917687,6,
33,,,7380.920605600434
34,195.50676729059484,6,
34,,,7380.226193064577
35,195.4916997486675,6,
35,,,7379.657405246444
36,195.47935965111958,6,
36,,,7379.191576301442
