Time,Electric power (E-Network 48V/E-Motor P1),Mechanical/Crankshaft static power (ICE)
s,W,W
0.0,0.0,0.0
1.0,28409.734946272187,82477.53963369483
2.0,25307.451257061,-4210.274363629269
3.0,24006.54931174398,124800.76384022721
4.0,25299.18944278469,52622.45172688314
5.0,20.0,-7753.467665114297
6.0,25171.490561703707,165641.50184942267
7.0,25286.599618135675,75191.42368096985
8.0,20.0,-6415.4543134854
9.0,25171.490590052843,165641.50314605588
10.0,25254.632356637856,110689.39393137621
11.0,25303.731937040346,40263.82649489082
12.0,20.0,-7181.423227339373
13.0,25171.490469591317,165641.49763638104
14.0,25171.49066606601,165641.50662274982
15.0,25171.49066606601,165641.50662274982
16.0,25188.820183024854,156298.34973503242
17.0,25265.349250158124,100568.47640581819
18.0,23762.097751219433,76071.4759830856
19.0,20847.848858864192,67007.24706705417
20.0,18463.65493407846,64524.45872017154
21.0,16512.267264524853,64586.049866341134
22.0,14914.819877670954,65518.03577060045
23.0,13607.008445214438,66651.54852282023
24.0,12536.279863490585,67735.4053298459
25.0,11659.641318990234,68688.46303768056
26.0,10941.905415138259,69496.52331269471
27.0,10354.267355065633,70169.89399281648
28.0,9873.1450921629,70726.2380463979
29.0,9479.231573688183,71183.90385197816
30.0,9156.719464111848,71559.55638003985
31.0,8892.666653398659,71867.53634401811
32.0,8676.476870144077,72119.88182700878
33.0,8499.474474046072,72326.57625628468
34.0,8354.556332801298,72495.84870592316
35.0,8235.906801762576,72634.46098135172
