Time,Mechanical/Crankshaft static torque (ICE),Mechanical/Static torque (E-Network 48V/E-Motor P1)
s,N.m,N.m
0.0,0.0,-0.0
1.0,185.72480554876876,56.81164492356616
2.0,-5.2877582350615455,31.565547131109618
3.0,166.91647080879682,31.875165656723937
4.0,67.76352308217483,32.35446656090267
5.0,-10.31075007840792,0.0
6.0,225.9075581540477,34.09243450295981
7.0,97.85822842802418,32.682909692997264
8.0,-8.567239772143775,0.0
9.0,225.90756008544506,34.09243456622287
10.0,146.5984796550178,33.21711721132957
11.0,51.556851983026434,32.17801144696281
12.0,-9.567053915247332,0.0
13.0,225.90755187852008,34.09243429740455
14.0,225.90756526414748,34.092434735851576
15.0,225.90756526414748,34.092434735851576
16.0,212.05902562205628,33.9390556785529
17.0,132.51752407133196,33.06248237094365
18.0,99.04523396153326,30.711756677319052
19.0,86.86840895970212,26.801643643794584
20.0,83.55193585998467,23.683051454651753
21.0,83.63411111169091,21.156835920474663
22.0,84.87817709048451,19.096633550136463
23.0,86.39277714419674,17.411672057194373
24.0,87.84259746749137,16.03201115488989
25.0,89.11872733038089,14.9018582110381
26.0,90.20164371086578,13.97599076141385
27.0,91.10471448628923,13.217496820962754
28.0,91.85129058542665,12.59615976896769
29.0,92.46575433938555,12.087216494236078
30.0,92.9703142897061,11.670366531054697
31.0,93.38411917115594,11.32896780929283
32.0,93.72326696148875,11.04937902485534
33.0,94.00112364471211,10.820420320500052
34.0,94.22871678244908,10.632930568663351
35.0,94.41511458043138,10.47940391022652
