Time,In/Velocity (Vehicle Monitor),In/Current Gear (Vehicle Monitor),Mechanical/Speed (ICE)
s,km/h,-,rpm
0,0,0,0
1,33.16288968603172,1,3583.6056789804566
2,65.93153578199191,1,7124.609112449206
3,71.63440448051163,2,7140.065487253961
4,93.67746391069699,2,7423.426292164265
5,95.23571186813976,3,7363.5954306172325
6,116.0704375515322,3,7001.8012533688225
7,129.5525766364021,3,7466.423724529424
8,129.4720004344478,4,7332.309449775287
9,142.1164521,4,7001.801253368956
10,155.6259036707899,4,7001.8012533686715
11,168.54002382298842,4,7001.8012533686715
12,180.12744832778222,4,7137.057196230463
13,185.38644174601058,4,7345.430418462503
14,187.27837961661064,4,7420.393279034511
15,187.95617084109725,4,7447.248901435054
16,188.19862733678482,4,7456.855576560829
17,188.25015687691922,4,7458.897293570916
18,188.12380491358996,4,7453.890942803675
19,187.94990259561936,4,7447.000539361915
20,187.78206217641434,4,7440.350322069515
21,187.63533179380772,4,7434.536532206779
22,187.5117224689919,4,7429.638850985023
23,187.4091782693355,4,7425.575817700071
24,187.32467690389905,4,7422.227682344363
25,187.25525424741676,4,7419.476999565985
26,187.19830107859133,4,7417.220386111527
27,187.15161109414248,4,7415.370423251363
28,187.11334967586708,4,7413.854419
29,187.08200253412554,4,7412.612374554175
30,187.0563240764206,4,7411.594935940279
31,187.0352914709397,4,7410.761576506743
32,187.0180655708504,4,7410.079047
33,187.0039582941989,4,7409.520085125975
