Time,In/Velocity (Vehicle Monitor),In/Current Gear (Vehicle Monitor),Mechanical/Speed (ICE)
s,km/h,-,rpm
0.0,0.0,0.0,0.0
1.0,33.04778629105311,1.0,3975.3245556745364
2.0,60.68946317777597,2.0,
2.0,,,6099.0575879499775
3.0,66.67408851572134,3.0,7176.06710023303
4.0,71.32362537159995,4.0,7185.1889318451185
5.0,74.97891908757441,5.0,7204.560042980978
6.0,77.84519503964668,6.0,7221.147203671903
7.0,80.12291560619465,6.0,7218.805952204412
8.0,82.32750707113257,6.0,7195.920811558965
9.0,84.44163146936874,6.0,7168.562797689178
10.0,86.46162492805908,6.0,7135.619015282384
11.0,88.38742577397211,6.0,7087.140099528257
12.0,90.19582778765785,6.0,7041.189319300001
13.0,91.87348042818518,6.0,7017.304641031812
14.0,93.42053680500113,6.0,7030.998513987495
15.0,94.86414811706253,6.0,7108.6820188036745
16.0,96.29878511235795,6.0,7238.33164742976
17.0,97.80555403074814,6.0,7346.815311590756
18.0,99.37402217098321,6.0,7404.482082034118
19.0,100.96443786801315,6.0,7427.231169163303
20.0,102.57075710889251,6.0,7396.866465619251
21.0,104.16801687268442,6.0,7329.50268578015
22.0,105.75166374576304,6.0,7230.481532648723
23.0,107.30110141188882,6.0,7140.362646985748
24.0,108.8064386171911,6.0,7094.622014867784
25.0,110.26847768593709,6.0,7093.572724336621
26.0,111.6880467331362,6.0,7098.467155286004
27.0,113.06599604710195,6.0,7103.620511946269
28.0,114.40319464287283,6.0,7109.046805597036
29.0,115.70052699043495,6.0,7114.760839466495
30.0,116.95888992013376,6.0,7120.778257116789
31.0,118.17918970624915,6.0,7127.115594169517
32.0,119.36233932842954,6.0,7133.790333641484
33.0,120.50908305413792,6.0,7140.820965186667
34.0,121.62025851740401,6.0,7148.227048568936
35.0,122.69658808688021,6.0,7156.029281721942
36.0,123.7389926155412,6.0,7164.249573788002
37.0,124.74841606351876,6.0,7172.911123567294
38.0,125.72579497898843,6.0,7182.038503852809
39.0,126.6696776179617,6.0,7194.832937423669
40.0,127.56436425670472,6.0,7217.662172734373
41.0,128.40836681436167,6.0,7221.839758208675
42.0,129.2025500417587,6.0,7204.818453836467
43.0,129.93416782466048,6.0,7177.975179236136
44.0,130.59498338143476,6.0,7147.696280270713
45.0,131.1857918778488,6.0,7105.97639951178
46.0,131.69594413611495,6.0,7054.404991019357
47.0,132.10133283004362,6.0,7022.2109463749075
48.0,132.40225111449269,6.0,7020.427247149082
49.0,132.6083698104681,6.0,7075.463309511724
50.0,132.79661437285358,6.0,7195.800414683456
51.0,133.0708408741434,6.0,7315.426606324195
52.0,133.44287942694365,6.0,7388.923681954933
53.0,133.87443822113693,6.0,7424.6244332364195
54.0,134.35284985354576,6.0,7412.249933112824
55.0,134.85846180989492,6.0,7355.586561114003
56.0,135.37839090170326,6.0,7266.723649462881
57.0,135.9026136644681,6.0,7166.104607696955
58.0,136.41041579947458,6.0,7104.337834225559
59.0,136.90239493010003,6.0,7091.996473070146
60.0,137.37913074883926,6.0,7096.807578766697
61.0,137.8411852573911,6.0,7101.873107823224
62.0,138.28910303137596,6.0,7107.206817747469
63.0,138.72341150656234,6.0,7112.823242566234
64.0,139.14462128370616,6.0,7118.737740153334
65.0,139.3946722331661,6.0,7122.819672096888
66.0,139.63740182523028,6.0,7127.079736729458
67.0,139.8730934217637,6.0,7131.489691676703
68.0,140.10202019352454,6.0,7136.054962973754
69.0,140.32444543146624,6.0,7140.781182039445
70.0,140.54062285313154,6.0,7145.674195890057
71.0,140.7507969037702,6.0,7150.740076197841
72.0,140.95520305188276,6.0,7155.985128786074
73.0,141.1540680789269,6.0,7161.415903585314
74.0,141.34761036297581,6.0,7167.039205077325
75.0,141.53604015615383,6.0,7172.862103254877
76.0,141.71955985571162,6.0,7178.891945127559
77.0,141.89836426863457,6.0,7185.1363668057975
78.0,142.07026101973906,6.0,7194.7784911252875
79.0,142.22831320864412,6.0,7212.0903148060015
80.0,142.37268651310592,6.0,7221.115765445002
81.0,142.50353998216107,6.0,7221.849769966849
82.0,142.62102627122513,6.0,7213.317296272862
83.0,142.7232718880593,6.0,7196.107651916962
84.0,142.8028679331934,6.0,7178.32779108177
85.0,142.85943833880955,6.0,7159.168560710742
86.0,142.89310403263772,6.0,7136.614825881783
87.0,142.90398062013804,6.0,7107.58191154028
88.0,142.888500027142,6.0,7072.343822911052
89.0,142.83454553524103,6.0,7045.350268160547
90.0,142.74179770277465,6.0,7029.006180305323
91.0,142.61033938206978,6.0,7027.653178891095
92.0,142.44024910786896,6.0,7050.193260628274
93.0,142.24059185940803,6.0,7108.681655644356
94.0,142.05181129545417,6.0,7195.799788356482
95.0,141.91433439999824,6.0,7278.686532357904
96.0,141.82829738482496,6.0,7346.827419413567
97.0,141.7913758336139,6.0,7388.9211136887
98.0,141.78536100737816,6.0,7416.697029106407
99.0,141.80669741442867,6.0,7427.225699006261
100.0,141.85548347659142,6.0,7412.242379055842
