Time,In/Velocity (Vehicle Monitor),In/Current Gear (Vehicle Monitor),Mechanical/Speed (ICE)
s,km/h,-,rpm
0.0,0.0,0.0,0.0
1.0,33.04778629105311,1.0,3975.3245556745364
2.0,67.51003667766253,1.0,
2.0,,,6694.76003179649
3.0,74.24978704159064,2.0,6965.249691260492
4.0,83.70190418629532,3.0,7189.5036175245505
5.0,101.30966939409053,3.0,7133.376535857077
6.0,106.41273726388184,4.0,6880.471328465339
7.0,119.9179948938701,4.0,7056.631935097462
8.0,126.33795923313797,5.0,6754.3100185467765
9.0,140.22157145772013,5.0,6839.537250864826
10.0,141.930658686193,6.0,6894.994766322552
11.0,154.68137163196377,6.0,6334.7083675437425
12.0,158.33588972919782,6.0,6819.426020073252
13.0,157.9204967680064,6.0,7109.060207323463
14.0,157.52841672968796,6.0,7114.760838961837
15.0,157.15854053030947,6.0,7120.778257116791
16.0,156.8098159666861,6.0,7127.115594169497
17.0,156.4812461218856,6.0,7133.790333641485
18.0,156.17188603465397,6.0,7140.820965186666
19.0,155.8808396042092,6.0,7148.227048568935
20.0,155.6072567110011,6.0,7156.029281721941
21.0,155.35033053587523,6.0,7164.249573788001
22.0,155.10929506169188,6.0,7172.9111235672935
23.0,154.88342274291898,6.0,7182.0385038528075
24.0,154.66964193737894,6.0,7194.832937423671
25.0,154.4506732709041,6.0,7217.662172734373
26.0,154.2234943615215,6.0,7221.839758208673
27.0,153.9874797810699,6.0,7204.818453836462
28.0,153.7284330646511,6.0,7177.975179236131
29.0,153.4367089562798,6.0,7147.696280270708
30.0,153.11173736719564,6.0,7105.976399511774
31.0,152.74154242353168,6.0,7054.404991019353
32.0,152.3007272197562,6.0,7022.210946374907
33.0,151.78833764251135,6.0,7020.42724714909
34.0,151.21284017325894,6.0,7075.463309511724
35.0,150.65000981773673,6.0,7195.800414683456
36.0,150.20260311973783,6.0,7315.426606324195
37.0,149.8813755884739,6.0,7388.923681954933
38.0,149.64699190668009,6.0,7424.6244332364195
39.0,149.48577046591592,6.0,7412.249933112824
40.0,149.37707423038694,6.0,7355.586561114003
41.0,149.3070671811094,6.0,7266.723649462881
42.0,149.26480373352646,6.0,7166.104607696955
43.0,149.22867668992333,6.0,7104.337834225559
44.0,149.19842233941424,6.0,7091.996473070146
45.0,149.1737891401273,6.0,7096.807578766697
46.0,149.15453705993943,6.0,7101.873107823224
47.0,149.1404370811309,6.0,7107.206817747469
48.0,149.13127052687324,6.0,7112.823242566234
49.0,149.1268286428717,6.0,7118.737740153334
50.0,149.12691204534977,6.0,7124.9665428129165
51.0,149.13132999993545,6.0,7131.526811380228
52.0,149.1398992734652,6.0,7138.4366931269415
53.0,149.15244593927133,6.0,7145.715383785649
54.0,149.16880555795288,6.0,7153.383194038997
55.0,149.1888209098755,6.0,7161.461620853021
56.0,149.21234166462125,6.0,7169.973424072345
57.0,149.23922406670385,6.0,7178.942708737476
58.0,149.2693273037495,6.0,7188.395013631809
59.0,149.28827178276438,6.0,7212.1422921609255
60.0,149.28879446079262,6.0,7222.568992075273
61.0,149.27074729931638,6.0,7213.23843290888
62.0,149.22743174181073,6.0,7187.029657977452
63.0,149.14309498389676,6.0,7158.562685927362
64.0,149.01707210635038,6.0,7121.897112137908
65.0,148.76501552105657,6.0,7089.174226810541
66.0,148.4893404943005,6.0,7057.676687237061
67.0,148.18481494766817,6.0,7035.650237973401
68.0,147.85110350610995,6.0,7026.042772564678
69.0,147.48788466224732,6.0,7035.104992126315
70.0,147.0948626519596,6.0,7075.463034395208
71.0,146.6986628088981,6.0,7152.27145640617
72.0,146.34833463018566,6.0,7238.330836409426
73.0,146.05710557645136,6.0,7315.425283985044
74.0,145.82478539181022,6.0,7370.892854407237
75.0,145.64018219000226,6.0,7404.47893533337
76.0,145.48967991818074,6.0,7424.619842247604
77.0,145.37310004511113,6.0,7423.454175803451
78.0,145.28724275501372,6.0,7396.857710674229
79.0,145.22062234498154,6.0,7355.575123577687
80.0,145.17231910519618,6.0,7299.811889400165
81.0,145.14216986693677,6.0,7230.464074729763
82.0,145.1193421351821,6.0,7166.08424108975
83.0,145.10012650259043,6.0,7119.634178282406
84.0,145.0843738658144,6.0,7094.597263415086
85.0,145.07194152373367,6.0,7091.970622027942
86.0,145.06269289063061,6.0,7095.14951157167
87.0,145.0564972231695,6.0,7098.4394662962495
88.0,145.0532293604421,6.0,7101.844450359613
89.0,145.05276947638643,6.0,7105.3685753072705
90.0,145.0550028439266,6.0,7109.016105966271
91.0,145.0598196102213,6.0,7112.791466603548
92.0,145.06711458244584,6.0,7116.699247362452
93.0,145.07678702356392,6.0,7120.744210992111
94.0,145.08874045757995,6.0,7124.931299885163
95.0,145.10288248378913,6.0,7129.265643440361
96.0,145.11912459957202,6.0,7133.752565767618
97.0,145.1373820313075,6.0,7138.397593754148
98.0,145.15757357299645,6.0,7143.2064655115755
99.0,145.17962143221953,6.0,7148.185139225121
100.0,145.2034510830634,6.0,7153.3398024274475
