Time,Electric power (E-Network 48V/E-Motor P1),Mechanical/Crankshaft static power (ICE)
s,W,W
0.0,0.0,0.0
1.0,30593.574212990105,110637.15540571597
2.0,20.0,-4884.566153047342
3.0,11860.76044359337,43662.782483603274
4.0,29661.391739177267,157985.98441131736
5.0,14075.860927822785,58665.35661532207
6.0,29660.863768767613,158106.85771659034
7.0,29678.58910935935,153575.70287793514
8.0,24132.653967933493,66478.39839431677
9.0,29675.762091940847,154267.9218733083
10.0,20.0,-2398.417773159081
11.0,29665.43416007385,156906.81004239476
12.0,29681.2350992418,152938.84284702776
13.0,29690.165277815715,150864.14047987515
14.0,29709.13344111989,149752.9757047949
15.0,28778.822543877737,147976.4698972278
16.0,17892.981927614273,101066.2036726287
17.0,17926.15790251101,126998.2019496017
18.0,17077.850271815947,140651.9582146526
19.0,16328.544598861135,151851.68318225912
20.0,15154.428437356455,150032.5439275837
21.0,13272.457140506593,129008.71545590433
22.0,11313.85456259589,102241.94075091991
23.0,9686.818917681534,79161.1448496415
24.0,8300.163690870273,61941.42586865918
25.0,7101.723946263628,49877.85168134782
26.0,6059.22877285922,40777.528290314825
27.0,5127.4215507794615,35180.26920217419
28.0,4273.807619419038,32610.82683059485
29.0,3480.2030276433507,30698.749102149457
30.0,2726.615306159694,28778.20787965794
31.0,2054.6439593462665,26066.516385055234
32.0,1233.6565144900248,20933.57830541329
33.0,444.3730817229799,13478.22116994873
34.0,20.0,-866.494205776623
35.0,20.0,-907.6054594944391
36.0,20.0,-951.6136463988456
37.0,20.0,-998.5576144405994
38.0,20.0,-1048.5284190238303
39.0,20.0,-1090.2642578446694
40.0,20.0,-1148.2068114299784
41.0,20.0,-1209.3312869038439
42.0,20.0,-1273.804065512102
43.0,20.0,-1341.8186664273605
44.0,20.0,-1413.5808935476136
45.0,20.0,-1489.309707029872
46.0,20.0,-1569.238189460912
47.0,20.0,-1653.6145956341365
48.0,20.0,-1742.7034943701826
49.0,282.09890095556506,2738.48528508452
50.0,1170.9594209434356,16318.872234605318
51.0,1990.3937188509785,30685.208281729163
52.0,2810.2973951711883,47474.097222557764
53.0,3637.9983886908894,66603.36222698119
54.0,4466.634049526977,89323.2746413508
55.0,5267.410977866612,106481.3243081034
56.0,6049.617182727472,122524.35686311421
57.0,6823.621478904428,139356.99824102377
58.0,7586.127942837323,157341.59364385827
59.0,7535.868600339037,149303.5629575221
60.0,6749.391674470868,106376.05745198822
61.0,5972.095398117092,72418.84899539239
62.0,5174.213045356839,51645.61231378526
63.0,4370.7480409590435,38642.63073717913
64.0,3541.484018477607,33311.21805124375
65.0,2679.3473749306518,30235.056145808798
66.0,2570.3609396993024,27663.397396863442
67.0,2578.4254496049334,23366.4848852863
68.0,1525.8704889969038,16864.55363057235
69.0,491.7464011456482,8426.565720454115
70.0,20.00000000550722,-1234.415860835585
71.0,20.0,-1327.5114671675149
72.0,20.0,-1416.24339928556
73.0,20.0,-1501.6943381875485
74.0,20.0,-1584.7847432325714
75.0,20.0,-1666.3017418914828
76.0,20.0,-1746.922628682721
77.0,20.0,-1827.2340523895946
78.0,20.0,-1907.7478064681668
79.0,20.0,-1988.913906724156
80.0,20.0,-2071.131481437472
81.0,20.0,-2154.757885837391
82.0,20.0,-2240.1163521760877
83.0,20.0,-2327.502456486609
84.0,20.0,-2417.1895944860553
85.0,20.0,-2509.433639799572
86.0,20.0,-2604.4769277921737
87.0,20.0,-2702.5516796631314
88.0,20.0,-2803.8829611988135
89.0,20.0,-2916.038997025847
90.0,20.0,-3026.296724613604
91.0,20.0,-3137.3232236509057
92.0,20.0,-3305.360243775958
93.0,2229.9576561943823,4322.368580185173
94.0,4333.080553761211,11763.869412948385
95.0,6452.801838527303,19429.991500542343
96.0,8577.060961367364,27791.77418357961
97.0,10696.253646653746,37223.20137586678
98.0,12818.441474252133,47227.28986454368
99.0,14947.174389662334,57921.244034568845
100.0,17078.821927029603,69636.57542033197
