Time,In/Velocity (Vehicle Monitor),In/Current Gear (Vehicle Monitor),Mechanical/Speed (ICE)
s,km/h,-,rpm
0.0,0.0,0.0,0.0
1.0,39.83021721984675,1.0,4591.020673221605
2.0,58.35805814971442,2.0,
2.0,,,7302.519174588326
3.0,78.96829986013472,2.0,7192.651847986344
4.0,85.19070454642532,3.0,6977.222293220169
5.0,106.36472616111564,3.0,7137.310803958313
6.0,109.96279067474526,4.0,6982.858607393706
7.0,127.61122364582124,4.0,6772.011696711461
8.0,129.0152675170162,5.0,7329.949519751245
9.0,142.91713359887032,5.0,6804.179201023586
10.0,152.30403702445693,5.0,7154.083505282531
11.0,154.69091553241995,6.0,6926.949709911077
12.0,163.94221221588396,6.0,6742.430253926254
13.0,172.7616394555961,6.0,6646.152175890365
14.0,181.1480674734948,6.0,6594.579266513481
15.0,189.10473589809527,6.0,6512.542397809923
16.0,196.37463091009022,6.0,6172.210583880175
17.0,193.22981023878444,6.0,7016.4176696862105
18.0,190.15951766353996,6.0,7002.828145294057
19.0,187.2167574246528,6.0,7003.60645847691
20.0,184.39097599986314,6.0,7037.5652411611245
21.0,181.69451123079725,6.0,7109.569142113345
22.0,179.15877467536032,6.0,7192.103285643714
23.0,176.78694931897076,6.0,7266.7868991927535
24.0,174.57183729172434,6.0,7320.892646934441
25.0,172.49756275172678,6.0,7354.1466074530335
26.0,170.54679630712056,6.0,7374.992199139381
27.0,168.7136370960663,6.0,7375.570552468684
28.0,166.99014798462787,6.0,7351.707807180102
29.0,165.36203195284526,6.0,7314.012354138361
30.0,163.82395516826261,6.0,7262.468131903657
31.0,162.37152431482784,6.0,7197.499810386694
32.0,160.99194457033067,6.0,7136.612722393943
33.0,159.6785065947166,6.0,7090.690818318047
34.0,158.55535000218853,6.0,7057.037083222051
35.0,157.4870504056627,6.0,7059.703100853931
36.0,156.47075298733847,6.0,7062.553060946191
37.0,155.50378120035234,6.0,7065.588689781469
38.0,154.58362325936284,6.0,7068.815019361402
39.0,153.70792087963466,6.0,7071.5057047969785
40.0,152.87445479458287,6.0,7075.235278049741
41.0,152.08113808140564,6.0,7079.162197575851
42.0,151.32600554364066,6.0,7083.295965723499
43.0,150.60720515906738,6.0,7087.647678527548
44.0,149.9229296807666,6.0,7092.229050239795
45.0,149.27142254043244,6.0,7097.052448753605
46.0,148.6510743140716,6.0,7102.130934647319
47.0,148.06043258523857,6.0,7107.478302833906
48.0,147.49812342792512,6.0,7113.10912701736
49.0,146.95703759128492,6.0,7128.618406328263
50.0,146.42433804551695,6.0,7140.964609945133
51.0,145.89883573496436,6.0,7133.2669152270755
52.0,145.3777568377759,6.0,7102.688456885725
53.0,144.84608144638412,6.0,7063.10769584548
54.0,144.29990861014616,6.0,7009.0689609544615
55.0,143.73823609461826,6.0,6937.552856648416
56.0,143.1411881432406,6.0,6895.032156368555
57.0,142.49689475021313,6.0,6899.642340534478
58.0,141.80446454234476,6.0,6951.383409146193
59.0,141.08499315488012,6.0,7040.8911652103525
60.0,140.41441229561357,6.0,7172.357834298188
61.0,139.85778506767744,6.0,7283.10913711008
62.0,139.40558458804426,6.0,7343.812000025371
63.0,139.0244174035912,6.0,7370.773496328311
64.0,138.70829149194094,6.0,7345.991542272462
65.0,138.4357714174997,6.0,7285.391458786991
66.0,138.0742202158675,6.0,7230.358701958184
67.0,137.73739655146713,6.0,7170.191892404287
68.0,137.41593315442458,6.0,7122.430289030313
69.0,137.10919768669228,6.0,7091.285663758604
70.0,136.8166157108604,6.0,7080.771538039561
71.0,136.53756058385,6.0,7086.7330519877
72.0,136.2714735299022,6.0,7092.398828073662
73.0,136.01782116912426,6.0,7097.840173754093
74.0,135.77609419884539,6.0,7103.117256921118
75.0,135.54580615521402,6.0,7108.281139083031
76.0,135.3264922493325,6.0,7113.375410202418
77.0,135.11770827269055,6.0,7118.437509916359
78.0,134.91902956707514,6.0,7123.4998044599815
79.0,134.7300500545247,6.0,7128.590470547308
80.0,134.55038132323688,6.0,7133.734225055073
81.0,134.37965176566473,6.0,7138.952930561762
82.0,134.21750576532156,6.0,7144.266099305961
83.0,134.06360292908366,6.0,7149.691315393159
84.0,133.91761736202204,6.0,7155.244588931242
85.0,133.77923698201565,6.0,7160.940654136384
86.0,133.64816287160383,6.0,7166.793221258679
87.0,133.52410866472286,6.0,7172.815190151348
88.0,133.40679996613912,6.0,7179.018831866724
89.0,133.2959738015541,6.0,7185.863686782912
90.0,133.19137809649777,6.0,7192.570857176007
91.0,133.09277118225975,6.0,7199.303106450716
92.0,132.99798305022134,6.0,7209.451282420993
93.0,132.90099458809522,6.0,7227.268012503225
94.0,132.80158666878148,6.0,7236.728278813008
95.0,132.69954884605406,6.0,7237.831067924506
96.0,132.59467897243889,6.0,7229.610550287966
97.0,132.4851376956821,6.0,7212.663168837288
98.0,132.36458959308345,6.0,7195.102390221118
99.0,132.23243969262433,6.0,7176.123867814545
100.0,132.08850931770945,6.0,7153.713636016209
